entry_date,exit_date,dias,entry_price,exit_price,stop_inicial,shares,pnl,pnl_pct,saida,equity_pos
2018-07-20,2018-08-10,21,5.15,5.23,4.77,2664.07,213.36,1.56,trailing,100492.15
2018-09-27,2018-11-07,41,5.74,7.04,5.40,2910.80,3770.40,22.55,trailing,104262.55
2019-03-15,2019-03-22,7,7.85,7.50,7.51,2655.80,-922.67,-4.42,stop,103339.88
2019-06-11,2019-07-02,21,7.58,7.49,7.20,2725.69,-258.73,-1.25,trailing,103081.15
2019-09-09,2019-10-02,23,7.58,7.52,7.13,2314.23,-136.75,-0.78,trailing,102944.40
2019-12-12,2019-12-16,4,8.77,8.33,8.42,2347.06,-1037.08,-5.04,stop,101907.32
2020-02-19,2020-02-21,2,8.77,8.37,8.33,2282.12,-924.05,-4.62,trailing,100983.27
2020-07-14,2020-07-31,17,6.58,6.38,6.16,2436.95,-489.56,-3.05,trailing,100493.71
2020-11-17,2021-01-15,59,6.80,8.08,6.25,1812.22,2305.48,18.70,trailing,102799.19
2021-05-14,2021-07-05,52,7.81,8.56,7.32,2100.14,1589.68,9.70,trailing,104388.87
2021-08-12,2021-09-01,20,8.64,8.50,8.13,2062.57,-275.21,-1.54,trailing,104113.66
2021-10-01,2021-10-19,18,8.81,8.81,8.22,1783.54,5.61,0.04,trailing,104119.27
2021-12-03,2021-12-22,19,10.16,9.95,9.48,1517.76,-321.75,-2.09,trailing,103797.52
2022-05-13,2022-05-30,17,13.25,12.92,12.47,1329.40,-436.69,-2.48,trailing,103360.83
2022-07-22,2022-09-06,46,12.63,16.98,11.85,1315.58,5718.20,34.40,trailing,109079.03
2022-10-19,2022-10-26,7,18.74,17.30,17.36,793.11,-1136.94,-7.65,stop,107942.10
2023-01-17,2023-02-02,16,14.44,13.88,13.42,1055.53,-597.36,-3.92,trailing,107344.74
2023-04-17,2023-05-02,15,15.12,14.50,14.28,1281.61,-793.62,-4.10,trailing,106551.12
2023-12-20,2024-01-19,30,26.66,27.50,25.53,799.39,673.63,3.16,trailing,107224.75
2024-04-10,2024-05-15,35,29.01,30.20,27.54,731.64,868.77,4.09,trailing,108093.51
2024-06-28,2024-07-22,24,30.78,30.67,29.45,702.47,-73.87,-0.34,trailing,108019.65
2024-08-26,2024-09-06,11,32.92,31.24,31.37,656.35,-1102.85,-5.10,stop,106916.79
2024-12-09,2024-12-18,9,33.31,32.27,32.03,642.02,-665.94,-3.11,trailing,106250.86
2025-07-30,2025-08-08,9,31.06,28.94,30.02,684.12,-1452.56,-6.84,stop,104798.30
2025-09-10,2025-09-19,9,30.55,30.11,29.59,686.18,-299.33,-1.43,trailing,104498.97
2026-01-22,2026-02-26,35,33.58,39.51,32.33,622.39,3690.76,17.66,fim_periodo,108189.73
2018-08-29,2018-10-29,61,1.83,2.29,1.65,5517.88,2540.77,25.16,trailing,102540.77
2019-01-18,2019-01-28,10,2.23,2.14,2.09,7032.69,-631.93,-4.03,trailing,101908.84
2019-09-19,2019-09-27,8,3.62,3.39,3.34,3692.93,-825.89,-6.18,trailing,101082.95
2019-10-30,2020-02-10,103,3.69,8.72,3.50,5103.09,25627.38,135.95,trailing,126710.33
2022-01-18,2022-02-03,16,23.88,22.70,21.71,582.98,-686.81,-4.93,trailing,126023.52
2022-07-29,2022-08-19,21,24.18,23.93,22.16,624.57,-155.89,-1.03,trailing,125867.63
2023-01-19,2023-02-14,26,40.46,40.79,37.67,451.86,153.39,0.84,trailing,126021.01
2023-04-12,2023-04-26,14,36.37,33.45,33.61,457.00,-1336.86,-8.04,stop,124684.15
2023-07-07,2023-08-16,40,39.29,45.91,36.75,492.45,3259.69,16.85,trailing,127943.83
2023-09-14,2023-09-21,7,49.17,46.37,46.69,515.48,-1446.19,-5.71,stop,126497.65
2024-04-04,2024-04-17,13,50.05,48.73,46.97,410.44,-541.78,-2.64,trailing,125955.87
2025-01-10,2025-01-23,13,42.63,41.48,40.32,545.26,-627.05,-2.70,trailing,125328.81
2025-03-26,2025-04-03,8,40.62,36.83,38.10,498.33,-1888.65,-9.33,stop,123440.16
2025-05-12,2025-06-24,43,38.56,41.56,35.15,361.68,1085.03,7.78,trailing,124525.19
2026-01-02,2026-02-26,55,41.76,52.85,39.79,596.39,6613.91,26.56,fim_periodo,131139.10
2019-06-07,2019-07-17,40,12.46,13.54,11.82,1549.60,1665.82,8.63,trailing,101665.82
2019-09-11,2019-11-13,63,16.49,18.97,15.70,1233.24,3060.94,15.05,trailing,104726.76
2020-01-17,2020-02-07,21,20.26,21.10,19.28,1034.01,872.72,4.17,trailing,105599.48
2020-06-02,2020-06-12,10,19.89,19.00,18.53,778.87,-692.79,-4.47,trailing,104906.69
