variacao,ticker,data_sinal,data_entrada,data_saida,dias,entrada,saida,pnl_pct,ret_bova,ret_rel,motivo,score,mrs,rsv
BASE,TAEE11,2025-09-19,2025-09-22,2025-10-06,10,34.86,35.61,2.16,-0.93,3.09,time_stop,6,-0.98,215.00
BASE,TAEE11,2025-11-05,2025-11-06,2025-11-11,3,39.20,41.16,5.00,3.13,1.87,take_profit,8,5.19,101.29
BASE,TAEE11,2025-11-11,2025-11-12,2025-11-13,1,41.76,43.85,5.00,-0.22,5.22,take_profit,8,8.21,110.37
BASE,VIVT3,2022-03-18,2022-03-21,2022-04-04,10,21.02,21.51,2.31,4.34,-2.03,time_stop,8,16.38,130.68
BASE,VIVT3,2023-07-26,2023-07-27,2023-08-10,10,18.95,18.60,-1.81,-1.32,-0.50,time_stop,6,-0.44,90.10
BASE,VIVT3,2024-08-01,2024-08-02,2024-08-16,10,23.35,24.09,3.16,6.46,-3.30,time_stop,6,3.80,171.27
BASE,VIVT3,2025-04-01,2025-04-02,2025-04-16,10,25.23,25.00,-0.93,-2.81,1.88,time_stop,7,4.05,152.60
BASE,VIVT3,2025-05-30,2025-06-02,2025-06-16,10,28.10,29.49,4.94,1.85,3.09,time_stop,7,7.17,239.50
BASE,VIVT3,2025-06-30,2025-07-01,2025-07-15,10,30.26,30.61,1.16,-3.04,4.20,time_stop,8,12.26,257.51
BASE,TEND3,2023-03-10,2023-03-13,2023-03-14,1,5.05,5.30,5.00,-0.20,5.20,take_profit,7,13.77,115.18
BASE,TEND3,2023-05-04,2023-05-05,2023-05-09,2,6.10,6.40,5.00,1.85,3.15,take_profit,7,32.55,71.14
BASE,TEND3,2023-06-30,2023-07-03,2023-07-05,2,10.56,11.09,5.00,-0.09,5.09,take_profit,6,82.66,16.96
BASE,TEND3,2024-03-15,2024-03-18,2024-03-20,2,11.16,11.72,5.00,1.95,3.05,take_profit,5,-2.81,83.50
BASE,TEND3,2024-07-11,2024-07-12,2024-07-26,10,12.63,12.05,-4.53,-0.97,-3.56,time_stop,7,8.71,-19.15
BASE,TEND3,2024-09-16,2024-09-17,2024-10-01,10,13.53,12.13,-10.33,-1.88,-8.45,time_stop,8,13.19,155.46
BASE,TEND3,2024-11-07,2024-11-08,2024-11-11,1,15.47,16.24,5.00,-0.12,5.12,take_profit,7,31.80,321.36
BASE,TEND3,2025-05-09,2025-05-12,2025-05-20,6,18.79,19.73,5.00,2.59,2.41,take_profit,7,30.53,106.44
BASE,TEND3,2025-11-07,2025-11-10,2025-11-11,1,24.08,25.28,5.00,1.67,3.33,take_profit,8,8.77,224.78
BASE,TEND3,2026-01-27,2026-01-28,2026-01-29,1,25.45,26.72,5.00,-0.96,5.96,take_profit,6,-9.27,42.65
