ticker,data,mrs,rsv,atr_ratio,close,variacao,ret_5d,ret_bova_5d,ret_rel_5d,ret_10d,ret_bova_10d,ret_rel_10d,ret_20d,ret_bova_20d,ret_rel_20d,dias_mrs,dias_rsv,mrs_recuo
IGTI11,2024-03-08,2.837,-52.836,0.960,22.260,I,0.379,-0.121,0.500,0.211,-0.425,0.635,-1.979,0.156,-2.135,,,1.433
IGTI11,2024-03-13,4.175,102.498,0.968,22.730,I,0.165,-1.770,1.935,-2.680,-0.501,-2.180,-6.144,-1.615,-4.530,,,2.022
IGTI11,2024-04-05,0.323,-15.636,0.981,21.560,I,-3.217,-0.070,-3.147,-6.859,4.313,-11.172,-2.449,0.764,-3.213,,,-0.142
IGTI11,2024-04-09,0.135,-60.058,0.991,22.090,I,-9.249,2.141,-11.390,-8.851,2.246,-11.097,-6.982,0.254,-7.236,,,-0.260
IGTI11,2024-08-13,1.825,-54.164,1.024,22.420,I,0.771,0.788,-0.017,-0.900,1.027,-1.926,-6.127,5.166,-11.293,,,0.527
IGTI11,2025-06-24,10.559,-33.690,0.933,22.610,I,2.111,1.509,0.602,1.231,-1.227,2.459,-7.696,-1.649,-6.046,,,7.180
IGTI11,2025-08-06,6.004,6.007,0.970,21.330,I,1.538,-1.420,2.958,2.704,-0.309,3.013,7.552,-1.825,9.377,,,5.145
IGTI11,2025-08-12,5.898,-54.479,1.002,21.890,I,-1.272,1.359,-2.631,-0.272,-1.617,1.344,5.495,-2.172,7.667,,,4.941
IGTI11,2025-09-23,10.252,29.372,0.930,24.430,I,-0.366,-0.239,-0.127,-5.332,1.050,-6.382,-3.378,5.850,-9.228,,,9.158
IGTI11,2025-10-07,7.272,-54.106,0.985,23.130,I,-1.634,0.980,-2.614,2.064,4.749,-2.686,6.664,2.831,3.833,,,6.519
IGTI11,2025-11-05,5.778,58.776,0.982,25.190,I,2.605,-0.745,3.349,2.170,-3.892,6.063,8.524,2.715,5.809,,,5.665
IGTI11,2025-11-10,5.474,-35.579,0.932,25.500,I,1.754,-1.766,3.520,1.793,-1.661,3.455,-0.663,4.008,-4.671,,,5.344
IGTI11,2025-11-13,6.132,29.617,0.919,26.040,I,-2.864,-1.992,-0.872,0.802,-1.429,2.231,-0.764,5.511,-6.274,,,5.222
IGTI11,2025-11-14,7.370,-40.761,0.944,26.410,I,-2.673,-1.978,-0.695,-0.452,-0.261,-0.191,-1.393,5.658,-7.051,,,6.132
IGTI11,2025-11-18,6.432,-81.852,0.967,26.080,I,0.686,-0.370,1.056,3.126,4.936,-1.810,-5.414,4.559,-9.972,,,5.805
IGTI11,2026-01-15,1.154,-65.563,0.940,26.810,I,1.594,-0.875,2.469,5.006,1.445,3.561,7.972,2.677,5.295,,,0.483
